com_id,com_code,com_name_ar,com_name_en,com_tel,com_address,com_usr_code,com_active,sec_insert_uid,sec_insert_date,sec_update_uid,sec_update_date
"156","156","اوم فارما","OM PHARMA","","","","1","","","",""
"157","157","اير كاست","AIR CASTt","","","","1","","","",""
"158","158","شاو","CIAP","","","","1","","","",""
"159","159","ناترول","NATROL INC.","","","","1","","","",""
"160","160","واسن إنترناشيونال","WASSON INTL","","","","1","","","",""
"161","161","ميديكاتور","MEDICATOR","","","","1","","","",""
"162","162","ايجبت ميديكال","EGYPT MEDICAL","","","","1","","","",""
"163","163","فارما أوفرسيس","PHARMA OVERSEAS","","","","1","","","",""
"164","164","نيولاين فارما","NEW LINE PHARMA","","","","1","","","",""
"165","165","اتش فاور","H  FAURE","","","","1","","","",""
"166","166","نيل جروب فارما","NILE GROUP PHARMA","","","","1","","","",""
"167","167","نير هادو","NERHADOU","","","","1","","","",""
"168","168","ياسمينا","YASMINA","","","","1","","","",""
"169","169","كريستينا","CHRISTINA","","","","1","","","",""
"170","170","وايزر","WEIZER","","","","1","","","",""
"171","171","الكمال","AL KAMAL","","","","1","","","",""
"172","172","لوتس فارم","LOUTAS PHARM","","","","1","","","",""
"173","173","الايمان","AL EMAN","","","","1","","","",""
"174","174","مفرا","MAFRA","","","","1","","","",""
"175","175","فيليبس","PHILIPS","","","","1","","","",""
"176","176","ميسلين","MISSLINE","","","","1","","","",""
"177","177","موفينج","MOVING","","","","1","","","",""
"178","178","هاينز","HEINZ","","","","1","","","",""
"179","179","لونا","LUNA","","","","1","","","",""
"180","180","ايجو","EGO","","","","1","","","",""
"181","181","فينوسان","VENOSAN","","","","1","","","",""
"182","182","مميكو","MMECO","","","","1","","","",""
"183","183","جيمكس","GEMIX","","","","1","","","",""
"184","184","ليفر مصر","LIVER MISR","","","","1","","","",""
"185","185","حنارة","HENARA","","","","1","","","",""
"186","186","اورجانيك","ORGANIC","","","","1","","","1","20/09/2007 2:20:03 pm"
"187","187","جودى","GOODY","","","","1","","","",""
"188","188","كارتيه","CARTIER","","","","1","","","",""
"189","189","سامسارا","SAMSARA","","","","1","","","",""
"190","190","جوب","JOOP","","","","1","","","",""
"191","191","واى اس ال","Y.S.L","","","","1","","","",""
"192","192","لانفين","LANVIN","","","","1","","","",""
"193","193","فروتينى","FRUTTINI","","","","1","","","",""
"194","194","سانوسان","SANOSAN","","","","1","","","",""
"195","195","جاجور","JAGUAR","","","","1","","","",""
"196","196","سالفادور دالى","SALVADOR DALE","","","","1","","","",""
"197","197","بيناتون","BENETTON","","","","1","","","",""
"198","198","اليزيبث اردين","ELIZABETH ARDEN","","","","1","","","",""
"199","199","لاجيرفيلد","LAGERFELD","","","","1","","","",""
"200","200","اديدس","ADIDAS","","","","1","","","",""
"201","201","كاسويل ماسى","CASWELL MASSEY","","","","1","","","",""
"202","202","ريميل","RIMMEL","","","","1","","","",""
"203","203","يونيكيو","UNIQUE","","","","1","","","",""
"204","204","دانهل","DANHILL","","","","1","","","",""
"205","205","كوزميا","COSMEA","","","","1","","","",""
"206","206","فارما جروب","PHARMA GROUP","","","","1","","","",""
"207","207","بولار","POLAR","","","","1","","","",""
"208","208","ميراكل","MIRACLE","","","","1","","","",""
"209","209","فارما","PHARMA","","","","1","","","",""
"210","210","ستيب فارما","STEP PHARMA","","","","1","","","",""
"211","211","هنكل","HENKEL","","","","1","","","",""
"212","212","رينو فارم","RINO PHARM","","","","1","","","",""
"213","213","ميديكا","MEDICA","","","","1","","","",""
